crime_type_id	crime_type	state_id	state	municipality_ma_id	municipality_ma	year	value	cvegeo	cve_ent
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	1	Aguascalientes	1001	Aguascalientes	2015	2	01001	01
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	1	Aguascalientes	1001	Aguascalientes	2016	3	01001	01
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	1	Aguascalientes	1001	Aguascalientes	2017	4	01001	01
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	1	Aguascalientes	1001	Aguascalientes	2018	5	01001	01
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	1	Aguascalientes	1001	Aguascalientes	2019	9	01001	01
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	1	Aguascalientes	1001	Aguascalientes	2020	5	01001	01
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	1	Aguascalientes	1001	Aguascalientes	2021	3	01001	01
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	1	Aguascalientes	1001	Aguascalientes	2022	13	01001	01
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	1	Aguascalientes	1005	Jesús María	2015	0	01005	01
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	1	Aguascalientes	1005	Jesús María	2016	0	01005	01
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	1	Aguascalientes	1005	Jesús María	2017	0	01005	01
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	1	Aguascalientes	1005	Jesús María	2018	0	01005	01
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	1	Aguascalientes	1005	Jesús María	2019	2	01005	01
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	1	Aguascalientes	1005	Jesús María	2020	1	01005	01
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	1	Aguascalientes	1005	Jesús María	2021	0	01005	01
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	1	Aguascalientes	1005	Jesús María	2022	0	01005	01
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	1	Aguascalientes	1011	San Francisco de los Romo	2015	0	01011	01
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	1	Aguascalientes	1011	San Francisco de los Romo	2016	0	01011	01
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	1	Aguascalientes	1011	San Francisco de los Romo	2017	2	01011	01
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	1	Aguascalientes	1011	San Francisco de los Romo	2018	0	01011	01
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	1	Aguascalientes	1011	San Francisco de los Romo	2019	1	01011	01
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	1	Aguascalientes	1011	San Francisco de los Romo	2020	0	01011	01
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	1	Aguascalientes	1011	San Francisco de los Romo	2021	0	01011	01
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	1	Aguascalientes	1011	San Francisco de los Romo	2022	0	01011	01
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2001	Ensenada	2015	0	02001	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2001	Ensenada	2016	0	02001	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2001	Ensenada	2017	0	02001	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2001	Ensenada	2018	0	02001	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2001	Ensenada	2019	0	02001	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2001	Ensenada	2020	0	02001	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2001	Ensenada	2021	0	02001	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2001	Ensenada	2022	0	02001	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2002	Mexicali	2015	0	02002	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2002	Mexicali	2016	0	02002	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2002	Mexicali	2017	0	02002	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2002	Mexicali	2018	0	02002	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2002	Mexicali	2019	0	02002	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2002	Mexicali	2020	0	02002	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2002	Mexicali	2021	0	02002	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2002	Mexicali	2022	0	02002	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2003	Tecate	2015	0	02003	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2003	Tecate	2016	0	02003	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2003	Tecate	2017	0	02003	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2003	Tecate	2018	0	02003	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2003	Tecate	2019	0	02003	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2003	Tecate	2020	0	02003	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2003	Tecate	2021	0	02003	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2003	Tecate	2022	0	02003	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2004	Tijuana	2015	0	02004	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2004	Tijuana	2016	0	02004	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2004	Tijuana	2017	0	02004	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2004	Tijuana	2018	0	02004	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2004	Tijuana	2019	0	02004	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2004	Tijuana	2020	0	02004	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2004	Tijuana	2021	0	02004	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2004	Tijuana	2022	0	02004	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2005	Playas de Rosarito	2015	0	02005	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2005	Playas de Rosarito	2016	0	02005	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2005	Playas de Rosarito	2017	0	02005	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2005	Playas de Rosarito	2018	0	02005	02
202	Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar	2	Baja California	2005	Playas de Rosarito	2019	0	02005	02
